NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
SUBWAY,CABOOL,MO,65689,8104.0,29215.0,TEXAS,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,156489.8373,133939.470670106,22550.3666298938,25126.4846720506,23558.412820303,34310.9055180007,32985.5114528331,0.24213410699809013,LSR,24.21,Study
BOP'S FROZEN CUSTARD,RICHLAND,MS,39218,4432.0,28121.0,RANKIN,3560.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,170613.0258,139732.0681302,30880.9576698,23885.823612,22009.0803282,63126.819546,0.0,0.14975044656876324,LSR,14.98,Study
STARBUCKS,WINSTON SALEM,NC,27105,1342.0,37067.0,FORSYTH,3120.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,184421.6808,128910.7548792,55510.9259208,49793.853816,23790.3968232,22130.601696,0.0,0.7837802013699258,LSR,78.38,Apex
AMERICA'S ROADHOUSE EXPRESS,ASHEBORO,NC,27203,3062.0,37151.0,RANDOLPH,3120.0,LSR - QUICK CASUAL,AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,179041.4406,155673.974866834,23367.4657331657,21648.6679034057,30529.1233571657,25925.20059888,62060.8787816914,0.7025647113725899,LSR,70.26,Focus
SONIC DRIVE-IN,ZEBULON,NC,27597,8730.0,37101.0,JOHNSTON,6640.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",UNDER $5,NOT APPLICABLE,406242.9855,340218.347182519,66024.6383174807,63703.9128933162,34810.8813624679,75810.3638560411,110698.602732648,0.2073701217770728,LSR,20.74,Study
C J'S BAR GRILL,PORT HURON,MI,48060,7474.0,26147.0,SAINT CLAIR,2162.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,78346.565172846,72849.4110516971,5497.15412114883,10150.829567624,12729.7413775457,15900.0577754569,27602.112491906,0.7956124695442511,FSR,79.56,Apex
SWEET DELI,BRONX,NY,10458,2556.0,36005.0,BRONX,5602.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,86270.6133,75836.1154776399,10434.4978223601,11859.0336120215,12140.3113794068,15842.2897372528,27601.5151092343,0.7049052654941342,LSR,70.49,Focus
LAS PALOMAS RESTAURANT,BRONX,NY,10468,6810.0,36005.0,BRONX,5602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,134676.200017556,126457.036449341,8219.16356821492,20198.3225683921,26086.9104556387,18753.3656461917,49983.0797711671,0.9052098706023664,FSR,90.52,Apex
THE ORIGINAL EMILIOS PIZZA II,DOBBS FERRY,NY,10522,1741.0,36119.0,WESTCHESTER,5602.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,89001.9623364301,81886.5489584343,7115.41337799574,14400.2413602295,11859.0222966596,15476.0240971407,26259.2636568891,0.8082024222453655,LSR,80.82,Apex
LA VERA CUCINA,SUFFERN,NY,10901,5312.0,36087.0,ROCKLAND,5602.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,101956.943552221,93938.2701353339,8018.67341688732,13372.6047531627,20706.7572686084,19789.9882041777,31512.4086413651,0.8504581215661218,FSR,85.05,Apex
LA CAVROSA DELI,WEST HEMPSTEAD,NY,11552,3241.0,36059.0,NASSAU,5602.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,41641.3548,36604.8005278082,5036.55427219184,5724.15342065629,5859.92140538494,7646.80326891039,13322.7809530501,0.43658405496748187,LSR,43.66,Attention
SCOOTER'S COFFEEHOUSE,LE ROY,NY,14482,1318.0,36037.0,GENESEE,6840.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,101-250 UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,118603.0272,82903.5160128,35699.5111872,32022.817344,15299.7905088,14232.363264,0.0,0.2805957255534668,LSR,28.06,Study
MAIN STREET CAFE,RUSHFORD,NY,14777,9700.0,36003.0,ALLEGANY,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,39624.7936440202,35948.1295620438,3676.66408197642,5601.27163391353,5999.46629983156,7450.66463784391,13246.6092195396,0.5710156317992039,FSR,57.1,Attention
